assay,module,structure_source,selection_metric,selected_model,selected_metric_value,n_models,avg_metric_value,confidence_tier,cif_path,status,md_ready,md_status
dprime_d3_fviii_binding,D_prime_D3,experimental_pdb_local,experimental_coordinates,6N29,,,,experimental,structures/6N29.pdb,available,yes_after_standard_cleaning,not_started
a1_gpiba_forced_binding,A1_GPIb_alpha,experimental_pdb_local,experimental_coordinates,1SQ0,,,,experimental,structures/1SQ0.pdb,available,yes_after_standard_cleaning,complete
a1_heparan_sulfate_binding,A1_heparan_sulfate,boltz2_wt_model,iptm,1,0.855827,5,0.660573,high,output/boltz2_vwd_functional_panel/boltz_results/boltz_results_VWF_WT__a1_heparan_sulfate_binding/predictions/VWF_WT__a1_heparan_sulfate_binding/VWF_WT__a1_heparan_sulfate_binding_model_1.cif,available,needs_cif_to_pdb_and_relaxation,not_started
a1_aim_autoinhibition_context,A1_AIM,experimental_pdb_local,experimental_coordinates,7A6O,,,,experimental,structures/7A6O_AIM_A1_clean.pdb,available,yes_after_standard_cleaning,complete
a2_folded_stability,A2_folded,experimental_pdb_local,experimental_coordinates,3GXB,,,,experimental,structures/3GXB.pdb,available,yes_after_standard_cleaning,not_started
a2_adamts13_folded_complex,A2_ADAMTS13,boltz2_wt_model,iptm,1,0.248412,5,0.159873,low,output/boltz2_vwd_functional_panel/boltz_results/boltz_results_VWF_WT__a2_adamts13_folded_complex/predictions/VWF_WT__a2_adamts13_folded_complex/VWF_WT__a2_adamts13_folded_complex_model_1.cif,available,needs_cif_to_pdb_and_relaxation,not_started
vwf73_adamts13_substrate,VWF73_ADAMTS13,boltz2_wt_model,iptm,2,0.106089,5,0.083070,low,output/boltz2_vwd_functional_panel/boltz_results/boltz_results_VWF_WT__vwf73_adamts13_substrate/predictions/VWF_WT__vwf73_adamts13_substrate/VWF_WT__vwf73_adamts13_substrate_model_2.cif,available,needs_cif_to_pdb_and_relaxation,not_started
a3_collagen_binding,A3_collagen,experimental_pdb_local,experimental_coordinates,4DMU,,,,experimental,structures/4DMU.pdb,available,yes_after_standard_cleaning,not_started
c1_collagen_binding,C1_collagen,boltz2_wt_model,iptm,0,0.609191,5,0.521010,moderate,output/boltz2_vwd_functional_panel/boltz_results/boltz_results_VWF_WT__c1_collagen_binding/predictions/VWF_WT__c1_collagen_binding/VWF_WT__c1_collagen_binding_model_0.cif,available,needs_cif_to_pdb_and_relaxation,not_started
c2_collagen_binding,C2_collagen,boltz2_wt_model,iptm,0,0.584646,5,0.527344,moderate,output/boltz2_vwd_functional_panel/boltz_results/boltz_results_VWF_WT__c2_collagen_binding/predictions/VWF_WT__c2_collagen_binding/VWF_WT__c2_collagen_binding_model_0.cif,available,needs_cif_to_pdb_and_relaxation,not_started
c4_integrin_binding,C4_integrin,boltz2_wt_model,iptm,0,0.687080,10,0.371742,moderate,output/boltz2_vwd_functional_panel/boltz_results/boltz_results_VWF_WT__c4_integrin_binding/predictions/VWF_WT__c4_integrin_binding/VWF_WT__c4_integrin_binding_model_0.cif,available,needs_cif_to_pdb_and_relaxation,not_started
d1d2_propeptide_context,D1_D2_propeptide,boltz2_wt_model,ptm,0,0.245628,5,0.233571,low,output/boltz2_vwd_functional_panel/boltz_results/boltz_results_VWF_WT__d1d2_propeptide_context/predictions/VWF_WT__d1d2_propeptide_context/VWF_WT__d1d2_propeptide_context_model_0.cif,available,needs_cif_to_pdb_and_relaxation,not_started
d4_assembly_context,D4_assembly,boltz2_wt_model,ptm,0,0.282946,10,0.239412,low,output/boltz2_vwd_functional_panel/boltz_results/boltz_results_VWF_WT__d4_assembly_context/predictions/VWF_WT__d4_assembly_context/VWF_WT__d4_assembly_context_model_0.cif,available,needs_cif_to_pdb_and_relaxation,not_started
c_domain_assembly_context,C1_C6_assembly,boltz2_wt_model,ptm,0,0.358154,5,0.352097,low,output/boltz2_vwd_functional_panel/boltz_results/boltz_results_VWF_WT__c_domain_assembly_context/predictions/VWF_WT__c_domain_assembly_context/VWF_WT__c_domain_assembly_context_model_0.cif,available,needs_cif_to_pdb_and_relaxation,not_started
ck_dimerization_context,CK_dimerization,experimental_pdb_local,experimental_coordinates,4NT5,,,,experimental,structures/4NT5.pdb,available,yes_after_standard_cleaning,not_started
