case_id,output_type,status,reason,shape,signed_min,signed_max,abs_max,signed_mean,positive_sum,negative_sum,peak_index
CASE_T1_001,ATAC,not_available_for_selected_cells,no_vwf_relevant_biosample_track,,,,,,,,
CASE_T1_001,CONTACT_MAPS,not_available_for_selected_cells,no_vwf_relevant_biosample_track,,,,,,,,
CASE_T1_001,CAGE,success,,1048576x18,-64.0,384.0,384.0,0.0001860253337668,6543.723360171724,-3032.61275333316,1039886|6
CASE_T1_001,DNASE,success,,1048576x8,-0.75,2.0,2.0,1.3003142017784948e-05,964.5412610580228,-855.4629999024959,1039779|5
CASE_T1_001,RNA_SEQ,success,,1048576x27,-10.0,9.0,10.0,1.9473502080978326e-05,6364.169706249857,-5812.844639462131,1041939|26
CASE_T1_001,SPLICE_SITE_USAGE,success,,1048576x26,-0.0078125,0.0078125,0.0078125,5.895146289117418e-09,2.351953764264119,-2.191234532467422,81202|17
CASE_T1_001,SPLICE_JUNCTIONS,success,,12934x13,-0.0432395935058593,0.0488018989562988,0.0488018989562988,5.6878696744047473e-05,23.0222504431199,-13.45855261518227,2692|7
CASE_T1_001,CHIP_HISTONE,success,,8192x12,-320.0,512.0,512.0,0.0089376270771026,12116.48828125,-11237.8837890625,7799|11
CASE_T1_001,CHIP_TF,success,,8192x10,-80.0,64.0,80.0,0.0069543361663818,5581.34375,-5011.64453125,3861|9
CASE_T1_001,SPLICE_SITES,success,,1048576x4,-0.009765625,0.01708984375,0.01708984375,1.1932442109483661e-08,1.5280911131376342,-1.4780428234680585,524272|3
CASE_T1_001,PROCAP,success,,1048576x2,-32.0,6.0,32.0,4.586661261192504e-06,377.3223815259844,-367.703455688752,1039887|0
CASE_T1_002,ATAC,not_available_for_selected_cells,no_vwf_relevant_biosample_track,,,,,,,,
CASE_T1_002,CONTACT_MAPS,not_available_for_selected_cells,no_vwf_relevant_biosample_track,,,,,,,,
CASE_T1_002,CAGE,success,,1048576x18,-32.0,32.0,32.0,3.4904471057927186e-05,2971.12897599228,-2312.329144399613,728469|8
CASE_T1_002,DNASE,success,,1048576x8,-0.75,1.0,1.0,3.89034090428479e-06,877.8629565439761,-845.2284117115655,1022043|4
CASE_T1_002,RNA_SEQ,success,,1048576x27,-1.75,2.0,2.0,5.9879797876890914e-05,4993.025915587473,-3297.735904246386,1038355|10
CASE_T1_002,SPLICE_SITE_USAGE,success,,1048576x26,-0.0078125,0.0078125,0.0078125,-1.2187199049086015e-09,2.009418447210919,-2.0426443787291646,140727|15
CASE_T1_002,SPLICE_JUNCTIONS,success,,12994x13,-0.0531463623046875,0.0495581626892089,0.0531463623046875,7.880519265154449e-05,25.276802527796463,-11.964871774712265,2239|12
CASE_T1_002,CHIP_HISTONE,success,,8192x12,-320.0,160.0,320.0,0.0012472867965698,10736.66015625,-10614.046875,7975|11
CASE_T1_002,CHIP_TF,success,,8192x10,-96.0,192.0,192.0,0.0053816027939319,5385.6875,-4944.826599121094,4425|9
CASE_T1_002,SPLICE_SITES,success,,1048576x4,-0.021484375,0.0103759765625,0.021484375,-2.929590072462719e-08,1.2763666044875208,-1.3992425180804275,524195|3
CASE_T1_002,PROCAP,success,,1048576x2,-3.0,4.0,4.0,-4.040360528104192e-06,290.06585307090427,-298.53910323313903,912233|0
CASE_T1_003,ATAC,not_available_for_selected_cells,no_vwf_relevant_biosample_track,,,,,,,,
CASE_T1_003,CONTACT_MAPS,not_available_for_selected_cells,no_vwf_relevant_biosample_track,,,,,,,,
CASE_T1_003,CAGE,success,,1048576x18,-40.0,40.0,40.0,-3.3562739361010785e-05,2777.095457573785,-3410.5709513615875,753002|5
CASE_T1_003,DNASE,success,,1048576x8,-1.0,2.0,2.0,-2.1007939419886672e-05,830.4864464305533,-1006.71381511173,889363|5
CASE_T1_003,RNA_SEQ,success,,1048576x27,-13.125,0.75,13.125,-0.0004260093479672,8457.005242688789,-20517.99105015081,524287|20
CASE_T1_003,SPLICE_SITE_USAGE,success,,1048576x26,-0.7294921875,0.7577881813049316,0.7577881813049316,-5.9193983164637425e-09,11.675752014503814,-11.837132428740006,524289|25
CASE_T1_003,SPLICE_JUNCTIONS,success,,12944x13,-6.241887092590332,8.580951072275639,8.580951072275639,-0.0002720274363307,166.5918280074261,-212.36642877368055,569|12
CASE_T1_003,CHIP_HISTONE,success,,8192x12,-128.0,80.0,128.0,-0.0542384584744771,8911.779296875,-14243.63671875,6975|11
CASE_T1_003,CHIP_TF,success,,8192x10,-192.0,64.0,192.0,-0.0301397323608398,4646.25,-7115.296875,4812|9
CASE_T1_003,SPLICE_SITES,success,,1048576x4,-0.16357421875,0.97930908203125,0.97930908203125,3.421091712345163e-07,3.332390973529982,-1.8974811081843652,524289|2
CASE_T1_003,PROCAP,success,,1048576x2,-12.0,12.0,12.0,-1.969353297626153e-05,306.7585529721691,-348.05888504040195,1045866|1
CASE_T1_005,ATAC,not_available_for_selected_cells,no_vwf_relevant_biosample_track,,,,,,,,
CASE_T1_005,CONTACT_MAPS,not_available_for_selected_cells,no_vwf_relevant_biosample_track,,,,,,,,
CASE_T1_005,CAGE,success,,1048576x18,-192.0,160.0,192.0,4.186947983524786e-05,4818.437263308573,-4028.1772929295257,1029458|5
CASE_T1_005,DNASE,success,,1048576x8,-0.75,1.0,1.0,-1.0433477623201069e-05,901.8551802143676,-989.3775340721731,1029319|6
CASE_T1_005,RNA_SEQ,success,,1048576x27,-12.0,12.0,12.0,6.837095908326124e-05,7255.716729498826,-5320.028766123203,1032698|4
CASE_T1_005,SPLICE_SITE_USAGE,success,,1048576x26,-0.01171875,0.01171875,0.01171875,2.3192161373394777e-08,2.7849412857172444,-2.1526539468062555,417562|14
CASE_T1_005,SPLICE_JUNCTIONS,success,,13287x13,-0.0518984794616699,0.1474575996398925,0.1474575996398925,2.3955663318973465e-05,22.954752541659676,-18.816866860910068,3923|12
CASE_T1_005,CHIP_HISTONE,success,,8192x12,-320.0,192.0,320.0,0.006508986155192,12214.515625,-11574.65625,6525|11
CASE_T1_005,CHIP_TF,success,,8192x10,-256.0,128.0,256.0,0.0100118398666381,6174.232421875,-5354.0625,4165|9
CASE_T1_005,SPLICE_SITES,success,,1048576x4,-0.0078125,0.0087890625,0.0087890625,2.4610423500319445e-08,1.5943057614913414,-1.4910821637622576,1032131|0
CASE_T1_005,PROCAP,success,,1048576x2,-24.0,24.0,24.0,2.2948139289533095e-05,425.3921008722391,-377.2663646649162,1029461|0
CASE_T1_006,ATAC,not_available_for_selected_cells,no_vwf_relevant_biosample_track,,,,,,,,
CASE_T1_006,CONTACT_MAPS,not_available_for_selected_cells,no_vwf_relevant_biosample_track,,,,,,,,
CASE_T1_006,CAGE,success,,1048576x18,-1204.0,1215.0,1215.0,0.0001077499377515,341247.1590747689,-339213.4470976696,1013111|14
CASE_T1_006,DNASE,success,,1048576x8,-72.9296875,73.7978515625,73.7978515625,1.4058040070509168e-05,248861.3826474346,-248743.45526003485,879193|5
CASE_T1_006,RNA_SEQ,success,,1048576x27,-25.6171875,29.1640625,29.1640625,0.0004355550731113,40108.795131553066,-27777.555030296204,778709|4
CASE_T1_006,SPLICE_SITE_USAGE,success,,1048576x26,-0.9921805262565612,0.9921861290931702,0.9921861290931702,3.5884732337730976e-08,2122.0021764382363,-2121.0238518417464,775920|1
CASE_T1_006,SPLICE_JUNCTIONS,success,,13228x13,-0.0640239715576171,0.1085405349731445,0.1085405349731445,0.0007778143216895,136.04624288526475,-2.2901808702445123,3688|12
CASE_T1_006,CHIP_HISTONE,success,,8192x12,-320.0,128.0,320.0,-0.0540174345175425,13279.439453125,-18589.5693359375,7911|11
CASE_T1_006,CHIP_TF,success,,8192x10,-192.0,128.0,192.0,-0.0108437180519104,6710.53125,-7598.8486328125,4537|9
CASE_T1_006,SPLICE_SITES,success,,1048576x4,-0.9999956488609314,0.999996155500412,0.999996155500412,9.416174512181552e-08,471.6262363473561,-471.2312933631447,568340|2
CASE_T1_006,PROCAP,success,,1048576x2,-1754.0,2049.125,2049.125,5.481623118303025e-05,54080.14486096066,-53965.18689210271,1013111|1
CASE_T1_007,ATAC,not_available_for_selected_cells,no_vwf_relevant_biosample_track,,,,,,,,
CASE_T1_007,CONTACT_MAPS,not_available_for_selected_cells,no_vwf_relevant_biosample_track,,,,,,,,
CASE_T1_007,CAGE,success,,1048576x18,-96.0,320.0,320.0,-0.0002320399550786,3311.2672017498844,-7690.874704608141,1035176|5
CASE_T1_007,DNASE,success,,1048576x8,-1.0,1.5,1.5,-1.306425092905806e-05,904.5285902984496,-1014.1194701559536,1035068|4
CASE_T1_007,RNA_SEQ,success,,1048576x27,-10.0,10.0,10.0,-0.0006693182459295,9661.41521782946,-28610.853542013712,1035508|26
CASE_T1_007,SPLICE_SITE_USAGE,success,,1048576x26,-0.8134765625,0.0395478755235672,0.8134765625,-4.441863041207474e-07,2.6860797436825785,-14.795920292455216,524288|25
CASE_T1_007,SPLICE_JUNCTIONS,success,,13070x13,-3.5017495155334477,4.211185283027589,4.211185283027589,-0.0018717940169714,82.4318326509283,-400.468354074555,3672|12
CASE_T1_007,CHIP_HISTONE,success,,8192x12,-128.0,256.0,256.0,-0.0484090646107991,10687.3671875,-15446.171875,7761|11
CASE_T1_007,CHIP_TF,success,,8192x10,-192.0,96.0,192.0,-0.0281988143920898,4892.609375,-7202.65625,6437|9
CASE_T1_007,SPLICE_SITES,success,,1048576x4,-0.6328125,0.68121337890625,0.68121337890625,2.982019527463312e-07,3.505294513643093,-2.2545448704313458,524284|2
CASE_T1_007,PROCAP,success,,1048576x2,-8.0,24.0,24.0,-4.651805420675947e-06,391.7000644295913,-401.4556074711727,1035176|0
CASE_T1_008,ATAC,not_available_for_selected_cells,no_vwf_relevant_biosample_track,,,,,,,,
CASE_T1_008,CONTACT_MAPS,not_available_for_selected_cells,no_vwf_relevant_biosample_track,,,,,,,,
CASE_T1_008,CAGE,success,,1048576x18,-160.0,512.0,512.0,5.552541185005863e-05,5807.115831952484,-4759.1087753429165,1039624|3
CASE_T1_008,DNASE,success,,1048576x8,-0.75,0.625,0.75,1.0660220038650155e-05,971.4405176974556,-882.0161105994746,841499|6
CASE_T1_008,RNA_SEQ,success,,1048576x27,-10.0,10.0,10.0,0.0001262003225314,8128.880343802517,-4555.953350035339,1039928|26
CASE_T1_008,SPLICE_SITE_USAGE,success,,1048576x26,-0.0078125,0.0078125,0.0078125,2.3228018713604496e-08,2.766231606591321,-2.1329666898747712,152834|14
CASE_T1_008,SPLICE_JUNCTIONS,success,,12778x13,-0.0412588119506835,0.04644775390625,0.04644775390625,0.0001121895734615,28.188830370766937,-9.552571564767732,3709|11
CASE_T1_008,CHIP_HISTONE,success,,8192x12,-192.0,768.0,768.0,0.0284509162108103,12989.390625,-10192.5517578125,8131|11
CASE_T1_008,CHIP_TF,success,,8192x10,-128.0,96.0,128.0,0.0140653252601623,6044.42578125,-4892.1943359375,7583|9
CASE_T1_008,SPLICE_SITES,success,,1048576x4,-0.0234375,0.009765625,0.0234375,1.3388914335728253e-08,1.575349348177042,-1.5191921712230396,1042209|1
CASE_T1_008,PROCAP,success,,1048576x2,-8.0,16.0,16.0,2.561193852992916e-05,386.0236349602637,-332.31150684834574,1039624|0
CASE_T1_009,ATAC,not_available_for_selected_cells,no_vwf_relevant_biosample_track,,,,,,,,
CASE_T1_009,CONTACT_MAPS,not_available_for_selected_cells,no_vwf_relevant_biosample_track,,,,,,,,
CASE_T1_009,CAGE,success,,1048576x18,-256.0,256.0,256.0,-8.154063363931572e-05,3960.3963083929993,-5499.424234654623,1036844|1
CASE_T1_009,DNASE,success,,1048576x8,-0.75,0.75,0.75,-2.0935912294977284e-06,904.1216015187148,-921.6839176552094,996270|7
CASE_T1_009,RNA_SEQ,success,,1048576x27,-10.0,10.0,10.0,6.839177918709061e-05,7249.396766123573,-5313.11935329574,1040320|26
CASE_T1_009,SPLICE_SITE_USAGE,success,,1048576x26,-0.009765625,0.0078125,0.009765625,-6.4256619024834804e-09,2.2116048896057663,-2.386787555837288,851129|14
CASE_T1_009,SPLICE_JUNCTIONS,success,,12621x13,-0.046513557434082,0.0506989955902099,0.0506989955902099,2.891765792275708e-05,21.207118966036887,-16.462512077676365,5197|9
CASE_T1_009,CHIP_HISTONE,success,,8192x12,-384.0,512.0,512.0,-0.0063345432281494,12280.1171875,-12902.828125,7781|11
CASE_T1_009,CHIP_TF,success,,8192x10,-128.0,48.0,128.0,0.0003307700157165,5552.2060546875,-5525.109375,6475|9
CASE_T1_009,SPLICE_SITES,success,,1048576x4,-0.0078125,0.0087890625,0.0087890625,2.6370204550367482e-08,1.583418366008118,-1.4728137115816935,523451|2
CASE_T1_009,PROCAP,success,,1048576x2,-12.0,32.0,32.0,1.1384595171984311e-05,380.697294349302,-356.8220678151847,1036847|0
CASE_T1_010,ATAC,not_available_for_selected_cells,no_vwf_relevant_biosample_track,,,,,,,,
CASE_T1_010,CONTACT_MAPS,not_available_for_selected_cells,no_vwf_relevant_biosample_track,,,,,,,,
CASE_T1_010,CAGE,success,,1048576x18,-192.0,192.0,192.0,2.5916789821090915e-05,3612.8190243217687,-3123.655995859845,1047173|1
CASE_T1_010,DNASE,success,,1048576x8,-1.0,0.625,1.0,-7.592567804387548e-06,871.0978421598232,-934.788917184251,836124|4
CASE_T1_010,RNA_SEQ,success,,1048576x27,-2.0,2.0,2.0,-7.635271429294122e-05,3448.161137629704,-5609.824978675452,1022978|9
CASE_T1_010,SPLICE_SITE_USAGE,success,,1048576x26,-0.0078125,0.01171875,0.01171875,1.0722138693672768e-08,2.609141985775409,-2.316824575901137,860908|24
CASE_T1_010,SPLICE_JUNCTIONS,success,,13044x13,-0.0540285110473632,0.0369544029235839,0.0540285110473632,-0.0001047252591712,10.73585108629095,-28.49432273448565,3660|7
CASE_T1_010,CHIP_HISTONE,success,,8192x12,-768.0,512.0,768.0,-0.016606996456782,10766.607421875,-12399.1416015625,8183|11
CASE_T1_010,CHIP_TF,success,,8192x10,-192.0,128.0,192.0,-0.0112721212208271,4878.2958984375,-5801.708068847656,4534|9
CASE_T1_010,SPLICE_SITES,success,,1048576x4,-0.0078125,0.01171875,0.01171875,2.7093575767026676e-08,1.4159912351060484,-1.3023525418921054,844531|2
