assay,module,structure_source,current_md_status,equilibrium_md_readouts,optional_smd_readout,smd_gate,ai_reference_distribution_features,priority,notes
a1_aim_autoinhibition_context,A1_AIM,experimental PDB 7A6O; local structure available,complete_50ns_per_system,"AIM-A1 contact occupancy; salt-bridge retention; A1 exposure; backbone RMSD",AIM release or A1-GPIb-alpha exposure under force,conditional; prior end-to-end SMD was no-go and must not be reused without redesign,"aim_contact_occupancy_z; aim_salt_bridge_retention_z; a1_exposure_z; backbone_rmsd_z",high,Experimental crystal structure; use as calibration template for other modules
a1_gpiba_forced_binding,A1_GPIb_alpha,experimental PDB 1SQ0; local structure available,complete,"interface contact occupancy; interface RMSD; GPIb-alpha contact lifetime; A1 surface exposure",A1-GPIb-alpha unbinding force and work,conditional; only with matched 2B/2M controls and a physically meaningful reaction coordinate,"interface_contact_occupancy_z; interface_rmsd_z; contact_lifetime_z; surface_exposure_z",high,Experimental crystal structure; do not substitute the Boltz complex model
a1_heparan_sulfate_binding,A1_heparan_sulfate,Boltz-2 WT model; best iPTM 0.856,not_started,"interface contact occupancy; interface RMSD; charge-contact retention; A1 surface exposure",not recommended,no,"interface_contact_occupancy_z; interface_rmsd_z; charge_contact_retention_z",medium,High-confidence model suitable for pilot equilibrium MD
a2_folded_stability,A2_folded,experimental PDB 3GXB; download required,not_started,"backbone RMSD; secondary-structure retention; local flexibility; cleavage-site exposure",A2 mechanical unfolding force,conditional; only if force-dependent unfolding is the direct question,"backbone_rmsd_z; secondary_structure_retention_z; local_flexibility_z; cleavage_site_exposure_z",high,Experimental structure should supersede the Boltz model once downloaded and cleaned
a2_adamts13_folded_complex,A2_ADAMTS13,Boltz-2 WT model; best iPTM 0.248,not_started,"interface contact occupancy; interface RMSD; cleavage-site geometry; substrate docking stability",ADAMTS13 unbinding force,not recommended until model confidence improves,"interface_contact_occupancy_z; interface_rmsd_z; cleavage_site_geometry_z",medium,Low Boltz confidence; treat as exploratory and consider an experimental or improved modeled complex
vwf73_adamts13_substrate,VWF73_ADAMTS13,Boltz-2 WT model; best iPTM 0.106,not_started,"substrate contact occupancy; cleavage-site exposure; local geometry; docking stability",not recommended,no,"substrate_contact_occupancy_z; cleavage_site_exposure_z; local_geometry_z",medium,Low Boltz confidence; suitable only for mechanistic exploration after model validation
a3_collagen_binding,A3_collagen,experimental PDB 4DMU; download required,not_started,"interface contact occupancy; interface RMSD; collagen-contact lifetime; binding surface exposure",collagen unbinding force,conditional; useful only after equilibrium MD and matched 2M-A3 controls,"interface_contact_occupancy_z; interface_rmsd_z; contact_lifetime_z",high,Experimental collagen-bound structure should supersede the Boltz model once downloaded and cleaned
c1_collagen_binding,C1_collagen,Boltz-2 WT model; best iPTM 0.609,not_started,"interface contact occupancy; interface RMSD; contact lifetime",not recommended,no,"interface_contact_occupancy_z; interface_rmsd_z; contact_lifetime_z",low,Accessory collagen axis; lower priority than A3 unless patient variants cluster here
c2_collagen_binding,C2_collagen,Boltz-2 WT model; best iPTM 0.585,not_started,"interface contact occupancy; interface RMSD; contact lifetime",not recommended,no,"interface_contact_occupancy_z; interface_rmsd_z; contact_lifetime_z",low,Accessory collagen axis
c4_integrin_binding,C4_integrin,Boltz-2 WT model; best iPTM 0.687,not_started,"interface contact occupancy; interface RMSD; RGD-loop geometry; contact lifetime",not recommended,no,"interface_contact_occupancy_z; interface_rmsd_z; rgd_loop_geometry_z",medium,Moderate-confidence model; useful for qualitative platelet aggregation evidence
d1d2_propeptide_context,D1_D2_propeptide,Boltz-2 WT model; best pTM 0.246,not_started,"backbone RMSD; secondary-structure retention; local flexibility; domain packing",not recommended,no,"backbone_rmsd_z; secondary_structure_retention_z; local_flexibility_z; domain_packing_z",medium,Low Boltz confidence; use primarily as exploratory biosynthesis and secretion evidence
d4_assembly_context,D4_assembly,Boltz-2 WT model; best pTM 0.283,not_started,"backbone RMSD; secondary-structure retention; local flexibility",not recommended,no,"backbone_rmsd_z; secondary_structure_retention_z; local_flexibility_z",medium,Low Boltz confidence; useful only as supporting quantitative-VWD evidence
c_domain_assembly_context,C1_C6_assembly,Boltz-2 WT model; best pTM 0.358,not_started,"inter-domain contact occupancy; backbone RMSD; local flexibility; packing stability",not recommended,no,"inter_domain_contact_occupancy_z; backbone_rmsd_z; local_flexibility_z",medium,Low Boltz confidence; treat as exploratory assembly evidence
ck_dimerization_context,CK_dimerization,experimental PDB 4NT5; download required,not_started,"fold stability; dimerization-surface retention if a dimer model is available; local flexibility",not recommended,no,"fold_stability_z; dimerization_surface_retention_z; local_flexibility_z",medium,Experimental CTCK structure should supersede the Boltz monomer once downloaded and cleaned
dprime_d3_fviii_binding,D_prime_D3,experimental PDB 6N29; download required,not_started,"interface contact occupancy; interface RMSD; interface SASA; residue-pair distance stability",unbinding force and work are possible but not mechanistically required,no; only after equilibrium MD is stable and a matched benign/pathogenic reference set exists,"interface_contact_occupancy_z; interface_rmsd_z; interface_sasa_z; residue_pair_distance_z",medium,Experimental D'D3 structure should supersede the low-confidence Boltz complex once downloaded and cleaned
