case_id,output_type,status,reason,n_tracks,npz_bytes,track_identity_aligned
CASE_T1_001,ATAC,not_supported_by_model,no_vwf_relevant_biosample_track,,,
CASE_T1_001,CONTACT_MAPS,not_supported_by_model,no_vwf_relevant_biosample_track,,,
CASE_T1_001,RNA_SEQ,success,,27,53142875,True
CASE_T1_001,SPLICE_SITE_USAGE,success,,26,27586550,True
CASE_T1_001,SPLICE_JUNCTIONS,success,,13,1223072,True
CASE_T1_001,DNASE,success,,8,27627418,True
CASE_T1_001,CHIP_TF,success,,10,259690,True
CASE_T1_001,CAGE,success,,18,47849987,True
CASE_T1_001,PROCAP,success,,2,6000795,True
CASE_T1_001,CHIP_HISTONE,success,,12,321712,True
CASE_T1_001,SPLICE_SITES,success,,4,12202798,True
CASE_T1_002,ATAC,not_supported_by_model,no_vwf_relevant_biosample_track,,,
CASE_T1_002,CONTACT_MAPS,not_supported_by_model,no_vwf_relevant_biosample_track,,,
CASE_T1_002,RNA_SEQ,success,,27,52691448,True
CASE_T1_002,SPLICE_SITE_USAGE,success,,26,27435225,True
CASE_T1_002,SPLICE_JUNCTIONS,success,,13,1227803,True
CASE_T1_002,DNASE,success,,8,27603815,True
CASE_T1_002,CHIP_TF,success,,10,259277,True
CASE_T1_002,CAGE,success,,18,47680461,True
CASE_T1_002,PROCAP,success,,2,5990307,True
CASE_T1_002,CHIP_HISTONE,success,,12,321459,True
CASE_T1_002,SPLICE_SITES,success,,4,12174583,True
CASE_T1_003,ATAC,not_supported_by_model,no_vwf_relevant_biosample_track,,,
CASE_T1_003,CONTACT_MAPS,not_supported_by_model,no_vwf_relevant_biosample_track,,,
CASE_T1_003,RNA_SEQ,success,,27,52473611,True
CASE_T1_003,SPLICE_SITE_USAGE,success,,26,27296974,True
CASE_T1_003,SPLICE_JUNCTIONS,success,,13,1223707,True
CASE_T1_003,DNASE,success,,8,27582661,True
CASE_T1_003,CHIP_TF,success,,10,259242,True
CASE_T1_003,CAGE,success,,18,47551114,True
CASE_T1_003,PROCAP,success,,2,5985964,True
CASE_T1_003,CHIP_HISTONE,success,,12,321400,True
CASE_T1_003,SPLICE_SITES,success,,4,12156512,True
CASE_T1_005,ATAC,not_supported_by_model,no_vwf_relevant_biosample_track,,,
CASE_T1_005,CONTACT_MAPS,not_supported_by_model,no_vwf_relevant_biosample_track,,,
CASE_T1_005,RNA_SEQ,success,,27,53729672,True
CASE_T1_005,SPLICE_SITE_USAGE,success,,26,27619983,True
CASE_T1_005,SPLICE_JUNCTIONS,success,,13,1256484,True
CASE_T1_005,DNASE,success,,8,27648108,True
CASE_T1_005,CHIP_TF,success,,10,260071,True
CASE_T1_005,CAGE,success,,18,47911330,True
CASE_T1_005,PROCAP,success,,2,6006099,True
CASE_T1_005,CHIP_HISTONE,success,,12,322389,True
CASE_T1_005,SPLICE_SITES,success,,4,12221120,True
CASE_T1_006,ATAC,not_supported_by_model,no_vwf_relevant_biosample_track,,,
CASE_T1_006,CONTACT_MAPS,not_supported_by_model,no_vwf_relevant_biosample_track,,,
CASE_T1_006,RNA_SEQ,success,,27,52457266,True
CASE_T1_006,SPLICE_SITE_USAGE,success,,26,27399775,True
CASE_T1_006,SPLICE_JUNCTIONS,success,,13,1249785,True
CASE_T1_006,DNASE,success,,8,27591300,True
CASE_T1_006,CHIP_TF,success,,10,258849,True
CASE_T1_006,CAGE,success,,18,47593394,True
CASE_T1_006,PROCAP,success,,2,5982843,True
CASE_T1_006,CHIP_HISTONE,success,,12,320756,True
CASE_T1_006,SPLICE_SITES,success,,4,12162706,True
CASE_T1_007,ATAC,not_supported_by_model,no_vwf_relevant_biosample_track,,,
CASE_T1_007,CONTACT_MAPS,not_supported_by_model,no_vwf_relevant_biosample_track,,,
CASE_T1_007,RNA_SEQ,success,,27,53287579,True
CASE_T1_007,SPLICE_SITE_USAGE,success,,26,27601362,True
CASE_T1_007,SPLICE_JUNCTIONS,success,,13,1236254,True
CASE_T1_007,DNASE,success,,8,27638412,True
CASE_T1_007,CHIP_TF,success,,10,259955,True
CASE_T1_007,CAGE,success,,18,47873895,True
CASE_T1_007,PROCAP,success,,2,6000835,True
CASE_T1_007,CHIP_HISTONE,success,,12,322186,True
CASE_T1_007,SPLICE_SITES,success,,4,12208193,True
CASE_T1_008,ATAC,not_supported_by_model,no_vwf_relevant_biosample_track,,,
CASE_T1_008,CONTACT_MAPS,not_supported_by_model,no_vwf_relevant_biosample_track,,,
CASE_T1_008,RNA_SEQ,success,,27,53064544,True
CASE_T1_008,SPLICE_SITE_USAGE,success,,26,27575779,True
CASE_T1_008,SPLICE_JUNCTIONS,success,,13,1208666,True
CASE_T1_008,DNASE,success,,8,27621723,True
CASE_T1_008,CHIP_TF,success,,10,259658,True
CASE_T1_008,CAGE,success,,18,47849347,True
CASE_T1_008,PROCAP,success,,2,5998418,True
CASE_T1_008,CHIP_HISTONE,success,,12,321654,True
CASE_T1_008,SPLICE_SITES,success,,4,12206034,True
CASE_T1_009,ATAC,not_supported_by_model,no_vwf_relevant_biosample_track,,,
CASE_T1_009,CONTACT_MAPS,not_supported_by_model,no_vwf_relevant_biosample_track,,,
CASE_T1_009,RNA_SEQ,success,,27,53320478,True
CASE_T1_009,SPLICE_SITE_USAGE,success,,26,27565315,True
CASE_T1_009,SPLICE_JUNCTIONS,success,,13,1194254,True
CASE_T1_009,DNASE,success,,8,27636590,True
CASE_T1_009,CHIP_TF,success,,10,259810,True
CASE_T1_009,CAGE,success,,18,47873606,True
CASE_T1_009,PROCAP,success,,2,6003193,True
CASE_T1_009,CHIP_HISTONE,success,,12,322142,True
CASE_T1_009,SPLICE_SITES,success,,4,12206628,True
CASE_T1_010,ATAC,not_supported_by_model,no_vwf_relevant_biosample_track,,,
CASE_T1_010,CONTACT_MAPS,not_supported_by_model,no_vwf_relevant_biosample_track,,,
CASE_T1_010,RNA_SEQ,success,,27,53059731,True
CASE_T1_010,SPLICE_SITE_USAGE,success,,26,27523572,True
CASE_T1_010,SPLICE_JUNCTIONS,success,,13,1233435,True
CASE_T1_010,DNASE,success,,8,27618713,True
CASE_T1_010,CHIP_TF,success,,10,259457,True
CASE_T1_010,CAGE,success,,18,47790139,True
CASE_T1_010,PROCAP,success,,2,5995514,True
CASE_T1_010,CHIP_HISTONE,success,,12,321689,True
CASE_T1_010,SPLICE_SITES,success,,4,12191083,True
CASE_T2B_001,ATAC,not_supported_by_model,no_vwf_relevant_biosample_track,,,
CASE_T2B_001,CONTACT_MAPS,not_supported_by_model,no_vwf_relevant_biosample_track,,,
CASE_T2B_001,RNA_SEQ,success,,27,53187807,True
CASE_T2B_001,SPLICE_SITE_USAGE,success,,26,27582303,True
CASE_T2B_001,SPLICE_JUNCTIONS,success,,13,1221474,True
CASE_T2B_001,DNASE,success,,8,27634641,True
CASE_T2B_001,CHIP_TF,success,,10,259681,True
CASE_T2B_001,CAGE,success,,18,47843731,True
CASE_T2B_001,PROCAP,success,,2,6000162,True
CASE_T2B_001,CHIP_HISTONE,success,,12,321809,True
CASE_T2B_001,SPLICE_SITES,success,,4,12208428,True
CASE_T2B_002,ATAC,not_supported_by_model,no_vwf_relevant_biosample_track,,,
CASE_T2B_002,CONTACT_MAPS,not_supported_by_model,no_vwf_relevant_biosample_track,,,
CASE_T2B_002,RNA_SEQ,success,,27,53187807,True
CASE_T2B_002,SPLICE_SITE_USAGE,success,,26,27582303,True
CASE_T2B_002,SPLICE_JUNCTIONS,success,,13,1221474,True
CASE_T2B_002,DNASE,success,,8,27634641,True
CASE_T2B_002,CHIP_TF,success,,10,259681,True
CASE_T2B_002,CAGE,success,,18,47843731,True
CASE_T2B_002,PROCAP,success,,2,6000162,True
CASE_T2B_002,CHIP_HISTONE,success,,12,321809,True
CASE_T2B_002,SPLICE_SITES,success,,4,12208428,True
CASE_T2B_003,ATAC,not_supported_by_model,no_vwf_relevant_biosample_track,,,
CASE_T2B_003,CONTACT_MAPS,not_supported_by_model,no_vwf_relevant_biosample_track,,,
CASE_T2B_003,RNA_SEQ,success,,27,53383537,True
CASE_T2B_003,SPLICE_SITE_USAGE,success,,26,27583553,True
CASE_T2B_003,SPLICE_JUNCTIONS,success,,13,1260305,True
CASE_T2B_003,DNASE,success,,8,27631162,True
CASE_T2B_003,CHIP_TF,success,,10,259823,True
CASE_T2B_003,CAGE,success,,18,47862209,True
CASE_T2B_003,PROCAP,success,,2,6000344,True
CASE_T2B_003,CHIP_HISTONE,success,,12,321854,True
CASE_T2B_003,SPLICE_SITES,success,,4,12208995,True
CASE_T2B_004,ATAC,not_supported_by_model,no_vwf_relevant_biosample_track,,,
CASE_T2B_004,CONTACT_MAPS,not_supported_by_model,no_vwf_relevant_biosample_track,,,
CASE_T2B_004,RNA_SEQ,success,,27,53290811,True
CASE_T2B_004,SPLICE_SITE_USAGE,success,,26,27577339,True
CASE_T2B_004,SPLICE_JUNCTIONS,success,,13,1193068,True
CASE_T2B_004,DNASE,success,,8,27629657,True
CASE_T2B_004,CHIP_TF,success,,10,259515,True
CASE_T2B_004,CAGE,success,,18,47863328,True
CASE_T2B_004,PROCAP,success,,2,5999658,True
CASE_T2B_004,CHIP_HISTONE,success,,12,322132,True
CASE_T2B_004,SPLICE_SITES,success,,4,12204713,True
CASE_T2B_005_VARIANT_1,ATAC,not_supported_by_model,no_vwf_relevant_biosample_track,,,
CASE_T2B_005_VARIANT_1,CONTACT_MAPS,not_supported_by_model,no_vwf_relevant_biosample_track,,,
CASE_T2B_005_VARIANT_1,RNA_SEQ,success,,27,53072894,True
CASE_T2B_005_VARIANT_1,SPLICE_SITE_USAGE,success,,26,27580159,True
CASE_T2B_005_VARIANT_1,SPLICE_JUNCTIONS,success,,13,1260667,True
