case_id,output_type,track_index,track_name,status,signed_min,signed_max,abs_max,signed_mean,peak_position
CASE_T1_001,RNA_SEQ,0,CL:0000115 total RNA-seq,paired,-2.5,4.0,4.0,-3.5492217722050273e-06,1043160
CASE_T1_001,RNA_SEQ,1,CL:0002188 total RNA-seq,paired,-4.0,4.0,4.0,-4.6285901124962946e-05,1041930
CASE_T1_001,RNA_SEQ,2,CL:0002543 total RNA-seq,paired,-3.5,3.5,3.5,-6.829861319079897e-05,1042368
CASE_T1_001,RNA_SEQ,3,CL:0002545 total RNA-seq,paired,-2.5,2.5,2.5,-3.7178067877658046e-05,1041922
CASE_T1_001,RNA_SEQ,4,CL:0002618 polyA plus RNA-seq,paired,-8.0,8.0,8.0,-0.00021931001662151958,1041893
CASE_T1_001,RNA_SEQ,5,CL:0002618 total RNA-seq,paired,-3.5,3.0,3.5,-1.95776061372527e-05,1043237
CASE_T1_001,RNA_SEQ,6,CL:1001568 total RNA-seq,paired,-5.0,5.0,5.0,-5.8815683204511775e-05,1042325
CASE_T1_001,RNA_SEQ,7,CL:2000010 total RNA-seq,paired,-4.0,4.0,4.0,-6.887181301171847e-05,1041901
CASE_T1_001,RNA_SEQ,8,CL:2000011 total RNA-seq,paired,-4.0,4.0,4.0,-2.6386068786491464e-05,1042077
CASE_T1_001,RNA_SEQ,9,CL:2000016 total RNA-seq,paired,-3.5,3.5,3.5,-7.102639339822884e-05,1042697
CASE_T1_001,RNA_SEQ,10,CL:2000018 total RNA-seq,paired,-6.0,6.0,6.0,-6.628293649850665e-05,1042312
CASE_T1_001,RNA_SEQ,11,CL:2000040 total RNA-seq,paired,-4.5,4.5,4.5,-6.406263947511656e-05,1042081
CASE_T1_001,RNA_SEQ,12,CL:2000041 total RNA-seq,paired,-4.0,4.0,4.0,-8.440776123448679e-05,1041921
CASE_T1_001,RNA_SEQ,13,CL:0000115 total RNA-seq,paired,-0.25,0.25,0.25,6.899762487860839e-05,524219
CASE_T1_001,RNA_SEQ,14,CL:0002188 total RNA-seq,paired,-0.625,0.625,0.625,7.031520972912043e-05,523817
CASE_T1_001,RNA_SEQ,15,CL:0002543 total RNA-seq,paired,-0.5,0.5,0.5,5.813244189732669e-05,499427
CASE_T1_001,RNA_SEQ,16,CL:0002545 total RNA-seq,paired,-0.21875,0.28125,0.28125,4.187624130923273e-05,524256
