case_id,output_type,status,reason,shape,signed_min,signed_max,abs_max,signed_mean,positive_sum,negative_sum,peak_index
CASE_T2B_001,ATAC,not_available_for_selected_cells,no_vwf_relevant_biosample_track,,,,,,,,
CASE_T2B_001,CONTACT_MAPS,not_available_for_selected_cells,no_vwf_relevant_biosample_track,,,,,,,,
CASE_T2B_001,CAGE,success,,1048576x18,-256.0,256.0,256.0,4.606759525434422e-05,5420.480379955057,-4550.983634249511,1039333|2
CASE_T2B_001,DNASE,success,,1048576x8,-1.25,0.75,1.25,-4.726766065872342e-06,895.7809162059949,-935.4319038403002,975834|5
CASE_T2B_001,RNA_SEQ,success,,1048576x27,-10.0,10.0,10.0,-1.275141180431178e-05,6280.70360052688,-6641.715858898067,1041327|26
CASE_T2B_001,SPLICE_SITE_USAGE,success,,1048576x26,-0.0078125,0.0078125,0.0078125,-4.774868788597852e-09,2.3811170234566763,-2.511294156643369,249132|13
CASE_T2B_001,SPLICE_JUNCTIONS,success,,12916x13,-0.0488748550415039,0.0360403060913085,0.0488748550415039,-0.0001073142559255,10.78676518966995,-28.80568727362061,10448|9
CASE_T2B_001,CHIP_HISTONE,success,,8192x12,-192.0,512.0,512.0,0.0148036281267801,12447.591796875,-10992.3359375,7795|11
CASE_T2B_001,CHIP_TF,success,,8192x10,-128.0,192.0,192.0,0.0077025473117828,5750.5625,-5119.56982421875,8147|9
CASE_T2B_001,SPLICE_SITES,success,,1048576x4,-0.0078125,0.01171875,0.01171875,3.302240378583524e-08,1.6231509827157424,-1.4846449824271986,947785|2
CASE_T2B_001,PROCAP,success,,1048576x2,-64.0,6.0,64.0,-5.1789947546898585e-05,354.15349881211296,-462.7648908899864,1039332|0
CASE_T2B_002,ATAC,not_available_for_selected_cells,no_vwf_relevant_biosample_track,,,,,,,,
CASE_T2B_002,CONTACT_MAPS,not_available_for_selected_cells,no_vwf_relevant_biosample_track,,,,,,,,
CASE_T2B_002,CAGE,success,,1048576x18,-256.0,256.0,256.0,4.606759525434422e-05,5420.480379955057,-4550.983634249511,1039333|2
CASE_T2B_002,DNASE,success,,1048576x8,-1.25,0.75,1.25,-4.726766065872342e-06,895.7809162059949,-935.4319038403002,975834|5
CASE_T2B_002,RNA_SEQ,success,,1048576x27,-10.0,10.0,10.0,-1.275141180431178e-05,6280.70360052688,-6641.715858898067,1041327|26
CASE_T2B_002,SPLICE_SITE_USAGE,success,,1048576x26,-0.0078125,0.0078125,0.0078125,-4.774868788597852e-09,2.3811170234566763,-2.511294156643369,249132|13
CASE_T2B_002,SPLICE_JUNCTIONS,success,,12916x13,-0.0488748550415039,0.0360403060913085,0.0488748550415039,-0.0001073142559255,10.78676518966995,-28.80568727362061,10448|9
CASE_T2B_002,CHIP_HISTONE,success,,8192x12,-192.0,512.0,512.0,0.0148036281267801,12447.591796875,-10992.3359375,7795|11
CASE_T2B_002,CHIP_TF,success,,8192x10,-128.0,192.0,192.0,0.0077025473117828,5750.5625,-5119.56982421875,8147|9
